#point birck;ligne;colonne;nombre de coup;bonus
50;1;1;3;1
60;1;2;2;1
70;1;3;2;0
80;1;4;1;0
90;1;5;2;0
100;1;6;2;0
110;1;7;1;0
120;1;8;3;0
50;1;9;1;1
60;1;10;1;2
70;1;11;1;0
60;2;2;1;1
70;2;3;2;0
80;2;4;1;1
90;2;5;2;1
100;2;6;2;0
110;2;7;1;0
120;2;8;3;0
50;2;9;1;0
60;2;10;1;2
120;2;11;1;0
70;3;3;2;0
80;3;4;1;0
90;3;5;2;1
100;3;6;2;0
110;3;7;1;0
120;3;8;3;0
50;3;9;1;0
60;3;10;1;2
70;3;11;1;0
90;4;4;1;2
70;4;5;1;0
50;4;6;1;0
100;4;7;1;2
70;4;8;1;0
50;4;9;1;0
80;4;10;1;0
110;4;11;2;2
60;5;5;1;0
50;5;6;2;0
100;5;7;34
50;5;8;1;0
50;5;9;1;0
60;5;10;1;2
50;5;11;1;0
70;6;6;1;0
100;6;7;1;3
100;6;8;1;0
50;6;9;1;0
80;6;10;1;0
110;6;11;2;3
100;7;7;1;5
70;7;8;1;1
50;7;9;1;0
70;7;10;1;0
80;7;11;1;0
60;8;8;1;1
60;8;9;1;0
80;8;10;2;1
50;8;11;1;0
70;9;9;1;0
70;9;10;1;0
80;9;11;1;0
80;10;10;2;2
50;10;11;1;0
110;11;11;1;3
