#point birck;ligne;colonne;nombre de coup;bonus
50;1;1;3;1
60;1;2;2;1
70;1;3;2;0
80;1;4;1;1
90;1;5;2;1
100;1;6;2;1
110;1;7;1;1
120;1;8;3;1
50;1;9;1;1
60;1;10;1;2
70;1;11;1;0
50;1;12;1;0
50;2;1;2;1
60;2;2;1;1
70;2;3;2;0
80;2;4;1;1
90;2;5;2;1
100;2;6;2;1
110;2;7;1;1
120;2;8;3;1
50;2;9;1;1
60;2;10;1;2
70;2;11;1;0
50;2;12;2;0
60;3;6,2;1
80;4;1;2;1
50;4;2;1;0
60;4;3;2;1
90;4;4;1;2
70;4;5;1;1
50;4;6;1;0
100;4;7;1;4
50;4;8;1;0
50;4;9;1;0
80;4;10;1;1
110;4;11;2;4
120;4;12;3;5
50;5;1;1;0
50;5;2;1;0
120;5;3;2;1
50;5;4;1;0
60;5;5;1;0
50;5;6;2;0
100;5;7;3;5
50;5;8;1;1
50;5;9;1;0
80;5;10;1;3
50;5;11;1;1
50;5;12;1;1
60;6;6,2;1
70;7;1;1;0
50;7;2;1;0
70;7;3;1;1
50;7;4;2;0
50;7;5;1;0
50;7;6;2;0
100;7;7;1;5
50;7;8;1;1
50;7;9;1;0
50;7;10;1;0
80;7;11;1;1
50;7;12;1;1
50;8;1;1;0
50;8;2;2;0
50;8;3;1;1
50;8;4;1;0
50;8;5;1;0
50;8;6;1;0
100;8;7;3;5
50;8;8;1;1
50;8;9;1;0
80;8;10;2;3
50;8;11;1;1
50;8;12;1;1
60;9;6,2;1
50;10;1;1;0
50;10;2;1;0
50;10;3;1;1
50;10;4;2;0
50;10;5;1;0
50;10;6;1;0
100;10;7;1;5
50;10;8;1;1
50;10;9;1;0
80;10;10;2;3
50;10;11;1;1
50;10;12;1;1
80;11;12;1;1
50;11;11;1;0
60;11;3;1;1
90;11;4;1;2
70;11;5;1;1
50;11;6;1;0
100;11;7;1;4
50;11;8;1;0
50;11;9;1;0
80;11;10;1;1
110;11;2;2;4
120;11;1;3;5
